;
; WIN30.DAT -- Windows 3.0 functions
; for use with Windows Source
; Copyright (c) 1992-1996 V Communications Inc.  All rights reserved.
;
; KRNL386.EXE
; "Microsoft Windows Kernel Interface Version 3.00"
;
GDI . 93	GetTextMetrics
GDI . 94	GetViewportExt
GDI . 95	GetViewportOrg
GDI . 96	GetWindowExt
GDI . 97	GetWindowOrg
GDI . 98	INTERSECTVISRECT
GDI . 99	LPtoDP
GDI . 100	LineDDA
GDI . 101	OffsetRgn
GDI . 102	OFFSETVISRGN
GDI . 103	PtVisible
GDI . 104	RectVisible
GDI . 105	SELECTVISRGN
GDI . 106	SetBitmapBits
GDI . 117	SETDCORG
GDI . 118	INTERNALCREATEDC
GDI . 119	AddFontResource
GDI . 121	DEATH
GDI . 122	RESURRECTION
GDI . 123	PlayMetaFile
GDI . 124	GetMetaFile
GDI . 125	CreateMetaFile
GDI . 126	CloseMetaFile
GDI . 127	DeleteMetaFile
GDI . 128	MulDiv
GDI . 129	SAVEVISRGN
GDI . 130	RESTOREVISRGN
GDI . 131	INQUIREVISRGN
GDI . 132	SetEnvironment
GDI . 133	GetEnvironment
GDI . 134	GetRgnBox
GDI . 135	SCANLR
GDI . 136	RemoveFontResource
GDI . 137	GSV
GDI . 138	DPXLATE
GDI . 139	SETWINVIEWEXT
GDI . 140	SCALEEXT
GDI . 141	WORDSET
GDI . 142	RECTSTUFF
GDI . 143	OFFSETORG
GDI . 148	SetBrushOrg
GDI . 149	GetBrushOrg
GDI . 150	UnrealizeObject
GDI . 151	CopyMetaFile
GDI . 153	CreateIC
GDI . 154	GetNearestColor
GDI . 155	QUERYABORT
GDI . 156	CreateDiscardableBitmap
GDI . 157	COMPATIBLEBITMAP
GDI . 158	ENUMCALLBACK
GDI . 159	GetMetaFileBits
GDI . 160	SetMetaFileBits
GDI . 161	PtInRegion
GDI . 162	GetBitmapDimension
GDI . 163	SetBitmapDimension
GDI . 164	PIXTOLINE
GDI . 169	ISDCDIRTY
